,Betweenness_A,Closeness_A,Clustering_A,Conductance_A,Cut Ratio_A,Degree_A,E In_A,E In Over E Out_A,E Out_A,Expansion_A,Normalised Cut_A,ODF_A,Shortest Path_A,Triangle Participation_A,Betweenness_B,Closeness_B,Clustering_B,Conductance_B,Cut Ratio_B,Degree_B,E In_B,E In Over E Out_B,E Out_B,Expansion_B,Normalised Cut_B,ODF_B,Shortest Path_B,Triangle Participation_B,Shortest Path Length,Triadic Closure,Mean Deg. on Path,Median Deg. on Path,Max Deg. on Path,Min Deg. on Path,Var of Deg. on Path
graph_1_2_nodes_103_106,0.010319429481386757,0.30381679389312977,0.2777777777777778,1.0,0.05056693963054657,9.0,0.0,0.0,9.0,0.4087707509881423,1.0059171597633136,1.0,3.2914572864321614,0.0,0.020320977399296003,0.3390119250425894,0.17777777777777778,1.0,0.02297733990147784,10.0,0.0,0.0,4.0,0.1543692307692308,1.0026385224274406,1.0,2.949748743718593,0.0,2,0,8.0,9.0,10,5,4.666666666666667
graph_4_4_nodes_48_69,0.002944483661182289,0.3294701986754967,0.06666666666666668,0.8695573426573426,0.04898530278201677,6.0,0.675,0.08926428571428571,8.325,0.2914711056057785,0.8750374010234168,0.925,3.0351758793969847,0.0007102649268316343,0.004640703290595594,0.35663082437275984,0.0,0.470985347985348,0.036746875492572384,6.0,3.65,0.6047976190476191,6.35,0.2571975826806646,0.4751867747168619,0.635,2.8040201005025125,0.0032506005818310783,2,0,7.666666666666668,6.0,11,6,5.5555555555555545
graph_3_5_nodes_41_89,0.0058970112273910216,0.3559928443649374,0.14285714285714285,0.8120279720279721,0.050210372705031925,7.0,1.044,0.11809523809523807,8.956,0.4201809849912944,0.8179243582736628,0.8956000000000001,2.809045226130653,0.0016860404475916163,0.01876166561105989,0.41030927835051545,0.13636363636363635,0.9883809523809524,0.0278879748438418,14.0,0.036000000000000004,0.009666666666666669,4.9639999999999995,0.2299876447663545,0.991653377944056,0.9928,2.437185929648241,0.0,3,0,14.0,12.0,25,7,46.5
graph_1_2_nodes_53_135,0.0013643263315196966,0.2863309352517985,0.4666666666666667,0.7777777777777778,0.03977272727272727,6.0,1.0,0.14285714285714285,7.0,0.2916666666666667,0.7823921482458068,0.875,3.4924623115577886,0.0,0.018763854958608484,0.3168789808917197,0.21428571428571427,0.8181818181818182,0.05084464999863972,8.0,1.0,0.1111111111111111,9.0,0.39150355731225295,0.8241067688072297,0.9,3.1557788944723617,0.0,4,0,7.8,7.0,12,6,4.959999999999999
graph_3_3_nodes_105_150,0.020312751828928537,0.3964143426294821,0.030303030303030307,1.0,0.03534232136509298,12.0,0.0,0.0,6.0,0.1993839476483054,1.0039525691699605,1.0,2.522613065326633,0.0,0.0018003919958406395,0.3278418451400329,0.3,0.40856293706293706,0.030878624023985318,5.0,3.793,0.7381571428571428,5.207000000000002,0.16770366504052386,0.4120119257803263,0.5785555555555556,3.050251256281407,0.0,2,0,10.666666666666666,12.0,15,5,17.555555555555557
graph_4_4_nodes_38_48,0.011479251637805048,0.3664825046040516,0.08333333333333333,0.7791888888888889,0.036525795257913066,9.0,0.888,0.14956666666666665,6.112,0.2031165251670308,0.7832194730106137,0.8731428571428571,2.728643216080402,0.000287624584717608,0.002944483661182289,0.3294701986754967,0.06666666666666668,0.8695573426573426,0.04898530278201677,6.0,0.675,0.08926428571428571,8.325,0.2914711056057785,0.8750374010234168,0.925,3.0351758793969847,0.0007102649268316343,3,0,8.0,8.0,10,6,2.5
graph_3_3_nodes_145_168,0.006827353563939304,0.3651376146788991,0.06666666666666668,0.5945373737373737,0.0346560356053437,6.0,2.039,0.34468571428571426,5.961,0.21575331185740032,0.5984748609852659,0.745125,2.738693467336684,0.002388416647226802,0.006395521851554273,0.3540925266903915,0.14285714285714285,0.6719132482318441,0.1224340430228048,7.0,5.11,0.2454622009569378,20.89,0.7253349335922012,0.6856322413157265,0.8034615384615384,2.8241206030150754,0.10448835570885974,2,0,13.333333333333336,7.0,27,6,93.55555555555556
graph_3_3_nodes_4_83,0.016411660098296275,0.3719626168224299,0.027777777777777776,0.6696363636363637,0.041578695648487374,9.0,1.815,0.2616607142857143,7.185,0.2769793675476642,0.6743767289445325,0.7983333333333333,2.6884422110552766,0.07939096427668885,0.0020210498501951,0.3153724247226624,0.0,0.9744285714285714,0.02885265425805935,4.0,0.077,0.019416666666666662,4.923,0.17130006279646404,0.9776741919720282,0.9846,3.1708542713567835,0.0,2,0,7.666666666666668,9.0,10,4,6.888888888888888
graph_3_5_nodes_67_101,0.0049485335419172435,0.3466898954703833,0.17857142857142858,0.6614285714285714,0.0223004710516889,8.0,1.022,0.25916666666666666,3.978,0.18668465849807184,0.6640561348625522,0.7956000000000001,2.884422110552764,0.0016860404475916163,0.008675348434354227,0.3611615245009073,0.03571428571428571,0.7149523809523809,0.02328402260125976,8.0,0.856,0.2145,4.144,0.19088322129655969,0.7176885529089618,0.8288000000000001,2.7688442211055286,0.00019584139264990327,4,0,8.6,8.0,10,8,0.6399999999999999
graph_2_4_nodes_32_114,0.004722998091864021,0.34133790737564323,0.2857142857142857,0.6796153846153846,0.05004508690291953,7.0,2.105,0.2382638888888889,8.895,0.4004179836264831,0.6854800282969886,0.8086363636363637,2.9296482412060296,0.0,0.005033433502066325,0.3273026315789473,0.0,0.9924,0.02212437202342064,5.0,0.019,0.006333333333333333,3.9810000000000003,0.19852466779597214,0.9950260639976841,0.99525,3.055276381909548,0.0,3,0,8.0,7.5,12,5,6.5
graph_3_2_nodes_78_146,0.004057486527253483,0.3644688644688645,0.26666666666666666,0.996095238095238,0.028828476315619394,6.0,0.012,0.0031666666666666666,4.988,0.18621121700704568,0.9993833667523762,0.9976,2.743718592964824,0.0,0.02004584294393559,0.4028340080971661,0.11666666666666667,0.567997619047619,0.0465004243435276,18.0,3.033,0.3816130952380952,7.9670000000000005,0.2785572720602135,0.5732601360817666,0.7242727272727273,2.4824120603015074,0.0029387734777890505,3,0,11.75,11.5,18,6,18.1875
graph_1_4_nodes_83_108,0.007430373058998653,0.3099688473520249,0.14285714285714285,1.0,0.027934531934504268,7.0,0.0,0.0,5.0,0.2379879540749105,1.003295978905735,1.0,3.226130653266332,0.0,0.0008875748801940703,0.2744827586206897,0.16666666666666666,0.7142857142857143,0.028409090909090905,6.0,1.0,0.2,5.0,0.2083333333333333,0.7175860443187176,0.8333333333333334,3.643216080402009,0.0,4,0,7.4,7.0,9,6,1.84
graph_2_4_nodes_153_173,0.037048919703053566,0.3879142300194932,0.13071895424836602,0.4545454545454545,0.028481348417744475,18.0,3.0,0.6,5.0,0.20500804923739707,0.4578545213886048,0.625,2.5778894472361813,0.0,0.01936751338952432,0.3678373382624769,0.20512820512820512,1.0,0.03376221747920207,13.0,0.0,0.0,6.0,0.26983198990004925,1.0039525691699605,1.0,2.7185929648241207,0.0,3,0,11.0,10.0,18,6,23.5
graph_2_3_nodes_53_98,0.008925359917183366,0.3624772313296904,0.21428571428571427,0.9093777777777776,0.04398641732269699,8.0,0.408,0.05833333333333333,7.5920000000000005,0.2773470918768333,0.9143762278312656,0.9490000000000001,2.758793969849246,0.0,0.0002981194284691165,0.32569558101472995,0.5,1.0,0.03413372995295801,4.0,0.0,0.0,6.0,0.2478725266038309,1.0039525691699605,1.0,3.0703517587939704,0.0,3,0,11.25,12.0,17,4,29.6875
graph_4_3_nodes_25_114,0.003334585631733307,0.3442906574394464,0.0,0.9034464646464646,0.04385896690035848,6.0,0.483,0.08404761904761904,7.517,0.28595706698997536,0.90839557558739,0.939625,2.9045226130653266,0.01047179140521974,0.017952513627333425,0.4061224489795918,0.05128205128205128,0.6856761904761904,0.01846847287896189,13.0,0.836,0.338,3.1639999999999997,0.11628355874215385,0.6877661406293921,0.7909999999999999,2.4623115577889445,0.0,3,0,9.25,9.5,13,5,14.1875
graph_2_2_nodes_98_118,0.003792968703991536,0.35727109515260325,0.0,0.7127,0.029218432762816163,5.0,1.008,0.2033,4.992,0.17136136990697198,0.7159950835872811,0.8320000000000001,2.798994974874372,8e-05,0.016154258345847446,0.39019607843137255,0.12087912087912088,0.4306547619047619,0.017805880469475052,14.0,1.992,0.6645833333333333,3.008,0.09686067480078514,0.4326454467161967,0.6016,2.562814070351759,0.0003529411764705882,3,0,8.5,7.5,14,5,11.25
graph_4_2_nodes_37_99,0.0027738677856634967,0.4004024144869216,0.25,0.7676606060606059,0.0411617329722232,8.0,1.11,0.17527619047619047,6.89,0.2301871594591134,0.7722027583701014,0.86125,2.4974874371859297,0.010725985181631571,0.004934465890230292,0.39173228346456695,0.03571428571428571,0.6338893939393939,0.031560374391911665,8.0,1.6340000000000001,0.32865,5.3660000000000005,0.18797841065198576,0.6374327246041692,0.7665714285714286,2.5527638190954773,0.004212573769186585,2,0,17.0,8.0,35,8,162.0
graph_4_3_nodes_23_158,0.0056006253119662295,0.3559928443649374,0.09523809523809523,0.8499761904761904,0.031286902423719024,7.0,0.5770000000000001,0.1395,5.422999999999999,0.22933906943820906,0.8535518582160873,0.9038333333333334,2.809045226130653,0.0,0.004227175318326303,0.35727109515260325,0.0,0.8452534576534576,0.041009259392326296,5.0,0.773,0.13254285714285713,7.227,0.35468058208158937,0.8500140654806846,0.903375,2.798994974874372,0.007378535570926276,3,0,12.5,9.5,26,5,67.25
graph_4_2_nodes_88_185,0.002571786721926445,0.3671586715867159,0.2,0.8267930069930071,0.04690046889312057,5.0,0.917,0.12596785714285713,8.083,0.34824975618947995,0.8321160568005347,0.8981111111111111,2.7236180904522613,0.00353279976366526,0.009311613222179152,0.4028340080971661,0.060606060606060615,0.5679156652043609,0.07589486582699344,12.0,5.0089999999999995,0.3947240509490509,12.991,0.4953075742906392,0.5764893288817401,0.7217222222222223,2.4824120603015074,0.10558231538802526,2,0,15.666666666666664,12.0,30,5,110.88888888888893
graph_3_4_nodes_44_182,0.007945317785330091,0.3540925266903915,0.0,0.5324404761904762,0.018612860250402187,6.0,1.815,0.8483333333333333,3.185,0.12278304054564515,0.5345452624711241,0.637,2.8241206030150754,0.0,0.0037644490415239132,0.3522123893805309,0.06666666666666668,0.9934761904761904,0.03541196426670105,6.0,0.025,0.006,5.975,0.1924103945477724,0.9974124303580352,0.9958333333333332,2.8391959798994977,0.00045510204081632654,3,0,12.0,8.5,25,6,60.5
graph_2_1_nodes_155_175,0.00585288082781959,0.3522123893805309,0.2380952380952381,0.5,0.023537652783538383,7.0,2.0,0.5,4.0,0.13308379765395895,0.5026455026455027,0.6666666666666666,2.8391959798994977,0.0,0.0024845698447201,0.3503521126760563,0.3333333333333333,0.7142857142857143,0.02942206597942298,7.0,1.0,0.2,5.0,0.16635474706744868,0.7175860443187176,0.8333333333333334,2.8542713567839195,0.0,2,0,9.666666666666666,7.0,15,7,14.222222222222221
graph_2_5_nodes_2_94,0.005241440784447136,0.3322203672787981,0.17857142857142858,0.6299545454545454,0.042293379278913024,10.0,2.0469999999999997,0.29578571428571426,6.952999999999999,0.19584824680632126,0.6345443537210863,0.7725555555555556,3.010050251256281,0.0038377826140459717,0.00024366021181237613,0.3042813455657493,0.16666666666666666,0.6585714285714286,0.024115630620845718,6.0,1.034,0.26416666666666666,3.966,0.11163822335203914,0.6611911131915678,0.7932,3.2864321608040203,0.0,4,0,11.6,10.0,20,6,24.64
graph_1_4_nodes_19_177,0.01829235993286757,0.2996987951807229,0.14285714285714285,1.0,0.03409090909090909,8.0,0.0,0.0,6.0,0.25,1.0039525691699605,1.0,3.336683417085427,0.0,0.027282067698086183,0.3485113835376533,0.1111111111111111,0.8,0.04543968596375377,10.0,1.0,0.125,8.0,0.3341878260869565,0.805270092226614,0.8888888888888888,2.869346733668342,0.0,3,0,8.25,9.0,10,5,4.1875
graph_3_4_nodes_69_158,0.0003559718737882282,0.2935103244837758,0.0,0.5269230769230769,0.039115023860920535,4.0,3.105,0.4535714285714286,6.895,0.29356823356777184,0.5314810753735919,0.6895,3.407035175879397,0.013026762796064855,0.0034225748875433533,0.3273026315789473,0.0,0.5123297591297591,0.03008267875197565,5.0,2.605,0.4958380952380952,5.395,0.2668392794447351,0.5158971057529075,0.674375,3.055276381909548,0.00010526315789473683,3,0,8.0,5.5,17,4,27.5
graph_2_4_nodes_70_80,0.010039622291705044,0.3528368794326241,0.2545454545454545,0.2507142857142857,0.011406439041508478,13.0,2.9960000000000004,1.4966666666666666,2.004,0.08253962506897289,0.2520431823818711,0.4008000000000001,2.8341708542713566,0.0,0.0043448960569405825,0.3273026315789473,0.26666666666666666,0.6666666666666666,0.0225775653364558,6.0,1.0,0.25,4.0,0.17587823663892208,0.6693086745926904,0.8,3.055276381909548,0.0,3,0,9.75,10.0,13,6,10.6875
graph_1_4_nodes_121_196,0.02349249673755853,0.3522123893805309,0.047619047619047616,0.7142857142857143,0.029405218312606837,7.0,1.0,0.2,5.0,0.16696956141744795,0.7175860443187176,0.8333333333333334,2.8391959798994977,0.0,0.004983991039024858,0.3204508856682769,0.2857142857142857,0.5,0.022727272727272728,8.0,2.0,0.5,4.0,0.16666666666666666,0.5026455026455027,0.6666666666666666,3.1206030150753774,0.0,3,0,12.75,8.0,28,7,77.6875
graph_4_4_nodes_71_122,0.008652567654649486,0.3856589147286822,0.16666666666666666,0.778479292929293,0.035372572555682866,9.0,0.9209999999999999,0.16583333333333333,6.079,0.2354830529649236,0.7824880435241494,0.8684285714285714,2.5929648241206027,0.00014285714285714284,0.005326925449983942,0.35346358792184723,0.09523809523809523,0.6792761904761905,0.01884300902277959,7.0,0.8540000000000001,0.338,3.1460000000000004,0.10194367343734492,0.6813543301990129,0.7865,2.8291457286432165,0.0,3,0,11.25,8.5,21,7,32.1875
graph_3_1_nodes_80_153,0.003100953994839198,0.3651376146788991,0.2,0.9916666666666668,0.028882859807044626,6.0,0.025,0.00625,4.975,0.18001691706506898,0.9949462962979088,0.995,2.738693467336684,0.0,0.009473810577317936,0.3540925266903915,0.027777777777777776,0.5992727272727273,0.034805336123537874,9.0,2.005,0.3346666666666667,5.995,0.21688868940497896,0.6032324694365335,0.749375,2.8241206030150754,0.0,2,0,7.0,6.0,9,6,2.0
graph_2_1_nodes_45_173,0.004314867610505783,0.3305647840531561,0.14285714285714285,0.7142857142857143,0.029002814347211,7.0,1.0,0.2,5.0,0.18131496181078027,0.7175860443187176,0.8333333333333334,3.0251256281407035,0.0,0.013397470203417694,0.3644688644688645,0.0,0.7104285714285714,0.02897974206612217,9.0,1.018,0.2054,4.982,0.17787039508224853,0.7137171145685998,0.8303333333333334,2.743718592964824,0.002478246753246753,4,0,9.2,9.0,11,7,1.7600000000000002
graph_3_2_nodes_70_135,0.01262162186551883,0.3909626719056975,0.05555555555555555,0.7991904761904761,0.0258420483125928,9.0,0.603,0.15108333333333332,4.397,0.14860305104828792,0.8020921054017645,0.8794000000000001,2.557788944723618,0.0,0.0063813412165160035,0.3712686567164179,0.2777777777777778,0.8322424242424243,0.05239390078727217,11.0,0.9259999999999999,0.10344444444444444,9.074,0.3415849451483504,0.8382150798036233,0.9074,2.6934673366834168,0.0005370868595006526,3,0,16.5,13.5,30,9,67.25
graph_3_1_nodes_187_191,0.005174668060847039,0.3605072463768116,0.2380952380952381,0.9474285714285714,0.035105436840432686,7.0,0.187,0.0386,5.813,0.17022497995093427,0.9512591408209145,0.9688333333333332,2.7738693467336684,0.0009025908689937839,0.002909753984515075,0.33671742808798644,0.0,0.9911904761904762,0.030582872208332355,5.0,0.027000000000000003,0.007083333333333333,4.973,0.1350330947402559,0.994468792686078,0.9946,2.969849246231156,0.0,3,0,8.25,8.0,12,5,6.6875
graph_1_3_nodes_33_78,0.005725706582011234,0.3075734157650695,0.2380952380952381,0.75,0.0344823645320197,7.0,1.0,0.16666666666666666,6.0,0.2307876923076924,0.7539577836411608,0.8571428571428571,3.251256281407035,0.0,0.07775546369418956,0.40529531568228105,0.19943019943019946,1.0,0.029241830065359475,29.0,0.0,0.0,5.0,0.1723448275862069,1.003295978905735,1.0,2.4673366834170856,0.0,3,0,18.5,19.0,29,7,85.25
graph_2_3_nodes_79_165,0.0009424051346348496,0.3168789808917197,0.16666666666666666,0.99975,0.03962147975231877,4.0,0.001,0.00016666666666666666,6.999,0.3000458102766799,1.004357644419586,0.9998571428571428,3.1557788944723617,0.0,0.006235703982999314,0.3338926174496644,0.13333333333333333,1.0,0.03465898688104943,6.0,0.0,0.0,6.0,0.22448952976891506,1.0039525691699605,1.0,2.9949748743718594,0.0,3,0,10.0,6.0,24,4,66.0
