,Betweenness,Closeness,Clustering,Conductance,Cut Ratio,Degree,E In,E In Over E Out,E Out,Expansion,Normalised Cut,ODF,Shortest Path,Triangle Participation
graph_3_1_node_76,0.0006236319261278298,0.3225283630470016,0.4,1.0,0.04064116711837785,5,0.0,0.0,7.0,0.25321510167011024,1.0046082949308757,1.0,3.100502512562814,0.0
graph_1_1_node_118,0.000436815685903682,0.28924418604651164,0.6,0.0,0.0,5,5.0,5.0,0.0,0.0,0.0,0.0,3.457286432160804,0.1875
graph_4_1_node_80,0.0031678323853680506,0.36580882352941174,0.13333333333333333,0.6694404761904762,0.023108058052254386,6,1.029,0.2793333333333333,3.971,0.15813647073337497,0.6720631787564946,0.7942,2.7336683417085426,0.009983113106708784
graph_2_2_node_98,0.0037929687039915355,0.35727109515260325,0.0,0.7127,0.029218432762816157,5,1.008,0.2033,4.992,0.17136136990697198,0.7159950835872811,0.8320000000000001,2.798994974874372,8e-05
graph_3_1_node_60,0.007103469244742742,0.3956262425447316,0.10714285714285714,0.5045571428571428,0.023694526919649874,8,2.007,0.5277,3.993,0.12774515292430172,0.507197731042507,0.6655,2.527638190954774,0.08268421758489228
graph_3_5_node_8,0.010968632966595504,0.3776091081593928,0.044444444444444446,0.555088888888889,0.028274926796095348,10,2.003,0.40105,4.997,0.2211296364346419,0.5583916144943479,0.7138571428571429,2.648241206030151,0.0
graph_1_2_node_108,0.0052802788950129555,0.30709876543209874,0.38095238095238093,0.7142857142857143,0.028247027777022062,7,1.0,0.2,5.0,0.21750197628458498,0.7175860443187176,0.8333333333333334,3.2562814070351758,0.0
graph_3_4_node_7,0.005631468557866002,0.33843537414965985,0.047619047619047616,0.777410101010101,0.042306500531062816,7,1.004,0.14402857142857142,6.996,0.21539021068277647,0.7820218454592812,0.8745,2.9547738693467336,0.0006188199718645663
graph_3_4_node_140,0.009181167553605946,0.3712686567164179,0.09523809523809523,0.9704,0.021252147460726848,7,0.074,0.024666666666666667,3.926,0.29154225395082956,0.972990000122073,0.9815,2.693467336683417,0.0
graph_4_2_node_173,0.001852626188707224,0.38122605363984674,0.0,0.7312142857142857,0.028813408647415873,5,1.033,0.2607,4.967,0.21610462173574205,0.7344920471217722,0.8278333333333333,2.6231155778894473,0.01062583972761632
graph_3_2_node_111,0.0020966167531450797,0.31338582677165355,0.16666666666666666,0.42374999999999996,0.01627914681083679,4,2.027,0.6891666666666666,2.973,0.18027001468752257,0.4257176422415987,0.5946,3.190954773869347,0.0
graph_1_5_node_160,0.008602569226200792,0.319935691318328,0.23809523809523808,1.0,0.040462195202976545,7,0.0,0.0,7.0,0.25926923076923075,1.0046082949308757,1.0,3.1256281407035176,0.0
graph_3_2_node_143,0.007777883576117322,0.37335834896810505,0.047619047619047616,0.8262142857142857,0.02999755360587178,7,0.609,0.1221,5.391,0.3029523054537208,0.8297696334850877,0.8985000000000001,2.678391959798995,0.0
graph_4_2_node_44,0.024661667328784206,0.44819819819819817,0.08947368421052632,0.8305238095238096,0.02643004756588928,20,0.545,0.16008333333333333,4.455,0.14788183784916198,0.8334630339355195,0.891,2.2311557788944723,7.692307692307693e-05
graph_1_4_node_106,0.001591175370497392,0.2667560321715818,0.3,1.0,0.022727272727272728,5,0.0,0.0,4.0,0.16666666666666666,1.0026385224274406,1.0,3.748743718592965,0.0
graph_4_4_node_100,0.00296505763142289,0.34429065743944637,0.1,0.7436071428571428,0.023879282786969932,5,0.872,0.27891666666666665,4.128,0.16785995255224406,0.746331921562682,0.8256,2.9045226130653266,0.000711844193817878
graph_4_1_node_164,0.014397182478080188,0.3849129593810445,0.015151515151515152,0.7843222222222223,0.0358089502392064,14,0.907,0.16508333333333333,6.093,0.22740833308779201,0.7883399821779975,0.8704285714285714,2.5979899497487438,0.002791127672905347
graph_2_1_node_150,0.004914064232922812,0.36446886446886445,0.35555555555555557,0.5,0.03530647917530758,10,3.0,0.5,6.0,0.19962569648093842,0.503968253968254,0.6666666666666666,2.7437185929648242,0.0
graph_3_1_node_79,0.002904122157924152,0.3540925266903915,0.2,0.39936363636363637,0.02319354659477245,5,3.005,0.7529166666666667,3.995,0.14454354742255476,0.4020093515031399,0.5707142857142857,2.8241206030150754,0.1086715542475555
graph_4_5_node_89,0.007053967204628585,0.3856589147286822,0.14285714285714285,0.6459642857142857,0.0224432593695435,8,1.115,0.31116666666666665,3.885,0.16981195578035552,0.6485306012909917,0.777,2.592964824120603,0.0010342387106817043
graph_1_3_node_119,0.004896600047853646,0.31789137380191695,0.3333333333333333,1.0,0.028248908577298407,6,0.0,0.0,5.0,0.21737318840579709,1.003295978905735,1.0,3.1457286432160805,0.0
graph_1_1_node_190,0.006956712800626138,0.28469241773962806,0.0,0.1111111111111111,0.0056179775280898875,5,4.0,4.0,1.0,0.045454545454545456,0.11177556293835363,0.2,3.512562814070352,0.0
graph_3_4_node_48,0.0049744806280693655,0.3559928443649374,0.2222222222222222,1.0,0.054884497352792536,9,0.0,0.0,9.0,0.2512829116154449,1.0059171597633136,1.0,2.809045226130653,0.0
graph_2_1_node_156,0.0016152322414763238,0.34429065743944637,0.5,1.0,0.029422065979422984,5,0.0,0.0,5.0,0.16635474706744868,1.003295978905735,1.0,2.9045226130653266,0.0
graph_4_3_node_19,0.007620279829600126,0.35855855855855856,0.03571428571428571,0.8576190476190476,0.03159785999438145,8,0.531,0.1222,5.469,0.2258660367218405,0.8612249202890975,0.9115,2.7889447236180906,0.00025824175824175826
graph_3_3_node_158,0.012711989329078988,0.37406015037593987,0.09090909090909091,0.7788888888888889,0.04070989146600943,13,0.998,0.14328571428571427,7.002,0.2535475813500013,0.7835045183644871,0.87525,2.6733668341708543,0.0008908566568816324
graph_3_1_node_91,0.0033287309576588505,0.3378607809847199,0.2,0.7765706293706294,0.03766519441187735,5,1.036,0.15748571428571428,6.964,0.606673744581443,0.7811612237484304,0.8705,2.959798994974874,0.0005905952686440491
graph_1_4_node_62,0.011225076679765257,0.30615384615384617,0.10714285714285714,0.75,0.03409090909090909,8,1.0,0.16666666666666666,6.0,0.25,0.753957783641161,0.8571428571428571,3.2663316582914574,0.0
graph_1_5_node_32,0.0011953059674889575,0.2983508245877061,0.4666666666666667,0.6923076923076923,0.05027932960893855,6,2.0,0.2222222222222222,9.0,0.42857142857142855,0.6982404543380153,0.8181818181818182,3.351758793969849,0.0
graph_2_4_node_36,0.011028012587080973,0.3528368794326241,0.2222222222222222,0.9977142857142857,0.028172968699589962,10,0.008,0.0026666666666666666,4.992,0.2195814163192988,1.0010050224648213,0.9984,2.8341708542713566,0.0
graph_3_2_node_98,0.01916366247296757,0.388671875,0.030303030303030304,0.9885,0.03292075237393723,12,0.042,0.0091,5.958,0.3233910381503645,0.9924251570084545,0.993,2.5728643216080402,0.0
graph_2_5_node_37,0.003469063643389462,0.31942215088282505,0.0,0.654739393939394,0.03826085253744184,4,1.706,0.28019047619047616,6.294,0.17811286417332245,0.6588937586184004,0.78675,3.130653266331658,0.06321410599083374
graph_1_1_node_56,0.01583999188181714,0.32305194805194803,0.2,0.1111111111111111,0.0055937330431932155,5,4.0,4.0,1.0,0.047137878787878784,0.11177556293835363,0.2,3.0954773869346734,0.18855151515151514
graph_2_1_node_165,0.004886714796739414,0.35159010600706714,0.39285714285714285,1.0,0.03530647917530758,8,0.0,0.0,6.0,0.19962569648093842,1.0039525691699605,1.0,2.8442211055276383,0.0
graph_4_5_node_176,0.06529991693520473,0.45642201834862384,0.06613756613756613,0.5882782217782218,0.039571396518826574,28,2.362,0.36892142857142857,6.638,0.21234302181430018,0.5926624236398141,0.7375555555555555,2.190954773869347,0.0
graph_3_5_node_106,0.008291361087461107,0.37057728119180633,0.17857142857142858,0.9972,0.022393066493587663,8,0.007,0.002333333333333333,3.993,0.18707960624279496,0.9998339324796355,0.99825,2.698492462311558,0.0
graph_3_5_node_163,0.009977388454194328,0.3692022263450835,0.1111111111111111,0.43895757575757577,0.02783455608412146,10,3.129,0.6518666666666666,4.871,0.1954196234910628,0.44218194284046586,0.608875,2.708542713567839,0.014667456107111279
graph_3_5_node_67,0.004948533541917244,0.34668989547038326,0.17857142857142858,0.6614285714285714,0.0223004710516889,8,1.022,0.25916666666666666,3.978,0.18668465849807186,0.6640561348625522,0.7956000000000001,2.8844221105527637,0.0016860404475916165
graph_3_4_node_44,0.007945317785330091,0.3540925266903915,0.0,0.5324404761904762,0.018612860250402187,6,1.815,0.8483333333333333,3.185,0.12278304054564514,0.5345452624711241,0.637,2.8241206030150754,0.0
graph_1_3_node_175,0.009594791020754495,0.33843537414965985,0.2857142857142857,1.0,0.033895638925918875,9,0.0,0.0,6.0,0.2610355731225296,1.0039525691699605,1.0,2.9547738693467336,0.0
graph_2_1_node_32,0.0046822828472233196,0.3333333333333333,0.06666666666666667,0.5717912087912087,0.04656741578861836,6,2.997,0.37454166666666666,8.003,0.2847817334006989,0.5770771708817911,0.7275454545454546,3.0,0.14221548208496484
graph_2_4_node_63,0.0024910342387968543,0.32516339869281047,0.3,1.0,0.02278507873419558,5,0.0,0.0,4.0,0.16400643938991766,1.0026385224274406,1.0,3.0753768844221105,0.0
graph_2_2_node_97,0.002395328065111407,0.3209677419354839,0.0,0.3703333333333333,0.01864810238027695,4,2.832,0.943,3.168,0.10631905578914133,0.3724314323607262,0.528,3.1155778894472363,0.000603448275862069
graph_4_5_node_160,0.0020440224208317648,0.3776091081593928,0.3333333333333333,0.8437893939393939,0.0379021456727877,6,0.647,0.1151,6.353,0.20240948114364796,0.8479765448145347,0.9075714285714286,2.648241206030151,0.0004725720440150377
graph_2_3_node_117,0.007297687718436425,0.3776091081593928,0.19444444444444445,1.0,0.03990824726336209,9,0.0,0.0,7.0,0.28482523101697016,1.0046082949308757,1.0,2.648241206030151,0.0
graph_3_2_node_39,0.012733786045133897,0.38122605363984674,0.0,0.9666055555555556,0.03872011481796028,9,0.138,0.024816666666666664,6.862,0.3056438007999479,0.9711240230676882,0.9802857142857143,2.6231155778894473,0.0001111111111111111
graph_4_1_node_116,0.008560033143691364,0.3856589147286822,0.08888888888888889,0.9326666666666666,0.022714954007994094,10,0.171,0.059666666666666666,3.829,0.1277959829070796,0.9351930423826377,0.95725,2.592964824120603,0.0
graph_1_4_node_166,0.007537740649221826,0.2952522255192878,0.3333333333333333,0.7142857142857143,0.028409090909090908,6,1.0,0.2,5.0,0.20833333333333334,0.7175860443187176,0.8333333333333334,3.386934673366834,0.0
graph_1_4_node_22,0.007733774828614314,0.3109375,0.17857142857142858,0.8,0.04705603543309971,8,1.0,0.125,8.0,0.2668139437705622,0.805270092226614,0.8888888888888888,3.2160804020100504,0.0
graph_3_5_node_183,0.009907583357259001,0.39019607843137255,0.13333333333333333,0.7981265734265734,0.04555842707528862,10,1.013,0.12772142857142857,7.987,0.3249603797880073,0.8033881946357413,0.8874444444444444,2.562814070351759,0.0
graph_1_5_node_191,0.008839959398394626,0.30568356374807987,0.19047619047619047,1.0,0.028901568002126104,7,0.0,0.0,5.0,0.18519230769230768,1.003295978905735,1.0,3.271356783919598,0.0
graph_1_3_node_186,0.003513809823970969,0.3220064724919094,0.4666666666666667,1.0,0.04093856209150327,6,0.0,0.0,7.0,0.24128275862068965,1.0046082949308757,1.0,3.1055276381909547,0.0
graph_2_4_node_85,0.006790423711194654,0.32463295269168024,0.19047619047619047,0.6,0.01666455086062327,7,1.0,0.3333333333333333,3.0,0.15018308270676692,0.6019828155981494,0.75,3.080402010050251,0.0
graph_1_2_node_86,0.004518000880195807,0.3015151515151515,0.2,0.966,0.02263749757138023,6,0.085,0.028333333333333332,3.915,0.14471112739112738,0.9685827873469508,0.97875,3.3165829145728645,0.0
graph_2_5_node_140,0.01038577851166826,0.36116152450090744,0.047619047619047616,0.38799999999999996,0.013106204025393055,7,1.827,0.906,2.173,0.06538755497838045,0.389438224587604,0.54325,2.7688442211055277,0.0
graph_4_4_node_53,0.03869358597417061,0.41372141372141374,0.08421052631578947,0.9779434343434343,0.04752201804586951,20,0.101,0.014885714285714285,7.899,0.2392511079054564,0.9831410415523886,0.987375,2.4170854271356785,0.0
graph_2_5_node_94,0.00024366021181237613,0.30428134556574926,0.16666666666666666,0.6585714285714286,0.02411563062084572,6,1.034,0.26416666666666666,3.966,0.11163822335203914,0.6611911131915678,0.7932,3.28643216080402,0.0
graph_4_4_node_135,0.004076655630880404,0.33728813559322035,0.1,0.8187925407925408,0.05113208382075693,5,1.058,0.12816666666666665,8.942,0.41759208624742533,0.82467910800316,0.8942,2.9648241206030153,0.0056702277970314225
graph_4_4_node_59,0.0061901522039604796,0.33614864864864863,0.0,0.7655620823620823,0.0391780098667654,6,1.137,0.184,6.863,0.344942114337355,0.7700864832366201,0.857875,2.9748743718592965,0.0029382682466596263
graph_3_3_node_56,0.002016334480204453,0.3184,0.0,0.44748809523809524,0.018241974649177442,4,1.922,0.6350833333333333,3.078,0.0995624904956183,0.4495247372310957,0.6156,3.14070351758794,0.0005884464076343943
graph_2_3_node_160,0.002755500707571144,0.34608695652173915,0.5333333333333333,0.99975,0.04009456236602739,6,0.001,0.00016666666666666666,6.999,0.27544164750957856,1.0043576444195859,0.9998571428571429,2.8894472361809047,0.0
graph_3_5_node_19,0.007158987558131622,0.37265917602996257,0.1111111111111111,0.9941904761904762,0.03364621622966359,11,0.023,0.0058000000000000005,5.977,0.27499004345479905,0.9981280153740938,0.9961666666666666,2.6834170854271355,0.0
graph_3_5_node_31,0.003382945013725545,0.35535714285714287,0.2,0.7127857142857144,0.028002954183378552,8,1.007,0.2021,4.993,0.23384840972371884,0.7160814605270052,0.8321666666666667,2.814070351758794,0.0
graph_3_2_node_102,0.00825592905966588,0.3678373382624769,0.09523809523809523,0.7666500152188602,0.1580949958115745,7,4.375,0.15379425253933354,28.625,1.5596848076859968,0.7853354998325938,0.8674242424242424,2.7185929648241207,0.003332113456108071
graph_2_3_node_151,0.021349569978416316,0.3768939393939394,0.18333333333333332,0.6246388888888889,0.057787535467796136,18,3.004,0.30065,9.996,0.37021976215836394,0.6312325983718434,0.7689230769230769,2.6532663316582914,0.0
graph_3_3_node_20,0.0023577428852148918,0.32676518883415434,0.2,0.7965636363636364,0.04672893642835483,6,1.023,0.12901785714285713,7.977,0.2781124508828927,0.8018187640323076,0.8863333333333333,3.0603015075376883,0.0
graph_3_1_node_82,0.004373965739735063,0.35221238938053095,0.0,0.9927555555555555,0.04231896595881566,8,0.033,0.0069166666666666664,6.967,0.1985344163794121,0.9973423345536744,0.9952857142857143,2.8391959798994977,0.0009139374228359015
graph_4_2_node_132,0.005293829816892365,0.388671875,0.13333333333333333,0.6587380952380952,0.027716246592315478,10,1.263,0.2819,4.737,0.17104845635730398,0.6618661640400608,0.7895,2.5728643216080402,0.0017013449512183825
graph_3_2_node_74,0.003117308159199556,0.3436960276338515,0.0,0.8152767676767677,0.04074592504300704,4,0.88,0.13736190476190474,7.12,0.31769496218109133,0.8199683652595294,0.89,2.909547738693467,0.0
graph_4_4_node_188,0.003588788301936202,0.3579136690647482,0.0,0.8506332112332112,0.05649194459915207,5,0.98,0.11314126984126983,10.02,0.5492374210050164,0.8572235416507235,0.9109090909090909,2.7939698492462313,0.010033105936397101
graph_3_1_node_48,0.004747684762345281,0.37335834896810505,0.23809523809523808,0.6328181818181818,0.04048820297226123,7,2.026,0.29128571428571426,6.974,0.2523444159346921,0.6374216864543597,0.7748888888888888,2.678391959798995,0.1086715542475555
graph_1_5_node_118,0.009636770090866435,0.3075734157650695,0.06666666666666667,1.0,0.027932960893854747,6,0.0,0.0,5.0,0.23809523809523808,1.003295978905735,1.0,3.251256281407035,0.0
graph_1_3_node_124,0.0006672796855874922,0.2722298221614227,0.0,1.0,0.03956872944475595,4,0.0,0.0,7.0,0.3034465176502658,1.0046082949308757,1.0,3.6733668341708543,0.0
graph_1_1_node_38,0.008733580955641567,0.3138801261829653,0.19047619047619047,0.07692307692307693,0.005747126436781609,7,6.0,6.0,1.0,0.038461538461538464,0.07758929944139804,0.14285714285714285,3.185929648241206,0.23076923076923078
graph_2_5_node_184,0.012171706181822894,0.3559928443649374,0.047619047619047616,0.924,0.031988719158788634,7,0.266,0.053200000000000004,5.734,0.2780781056659647,0.9277790735595298,0.9556666666666667,2.809045226130653,0.0
graph_3_4_node_40,0.005042489278174499,0.35159010600706714,0.19047619047619047,0.4537777777777778,0.02960908919340628,7,3.007,0.6031428571428571,4.993,0.1601497685648927,0.4570822410020096,0.624125,2.8442211055276383,0.0959934121593438
graph_2_3_node_170,0.007017277030394954,0.35663082437275984,0.2777777777777778,1.0,0.05688954992159669,9,0.0,0.0,10.0,0.4131208776730516,1.0065703022339028,1.0,2.8040201005025125,0.0
graph_3_1_node_86,0.006392575069059309,0.37406015037593987,0.1111111111111111,0.9918761904761905,0.023604432167287134,9,0.023,0.012666666666666666,3.977,0.1270617501454728,0.9944996055140566,0.99425,2.6733668341708543,0.00031565656565656563
graph_3_2_node_175,0.014591707999558907,0.3768939393939394,0.12121212121212122,0.9974285714285714,0.03373424514601781,12,0.009,0.0018000000000000002,5.991,0.2703604385819299,1.0013752704462993,0.9985,2.6532663316582914,0.0
graph_3_1_node_167,0.004102362060634338,0.3407534246575342,0.2,0.8260323232323232,0.03776992449600503,5,0.729,0.1498,6.271,0.18957098044925225,0.8301658975407463,0.8958571428571428,2.9346733668341707,0.0019478810395808094
graph_2_5_node_188,0.004520568850528608,0.31942215088282505,0.0,0.9571025641025641,0.05958702210775347,5,0.258,0.025888888888888892,10.742,0.5503874089607466,0.9641590818943009,0.9765454545454545,3.130653266331658,0.0
graph_3_4_node_186,0.008209618725533345,0.3618181818181818,0.09523809523809523,0.9768555555555556,0.04189739507315996,7,0.1,0.019033333333333333,6.9,0.20038396843196138,0.9813987116173212,0.9857142857142858,2.763819095477387,0.0003953034794819785
graph_4_5_node_126,0.0016888126860966958,0.32516339869281047,0.0,0.4740121212121212,0.029939468851887502,4,2.873,0.5716,5.127,0.19164283144354557,0.4774041323980609,0.640875,3.0753768844221105,0.0
graph_2_3_node_141,0.0035314723706669385,0.3401709401709402,0.3333333333333333,0.86655,0.0735883872091935,6,1.001,0.07701282051282052,12.999,0.5572457905138339,0.8750851435877942,0.9285,2.9396984924623117,0.0
graph_3_5_node_99,0.003135224448745745,0.33671742808798644,0.0,0.9915555555555555,0.038605406180988594,5,0.036,0.006666666666666667,6.964,0.3621388396612851,0.9961404062831228,0.9948571428571429,2.969849246231156,0.0
graph_3_4_node_175,0.0026188760416590347,0.3395904436860068,0.26666666666666666,0.5641190476190476,0.026186547623880507,6,1.701,0.4105,4.299,0.12073290284192327,0.5669603410497256,0.7165,2.9447236180904524,0.05653297343493108
graph_2_5_node_159,0.0032530153864327917,0.33111480865224624,0.2,0.6465583333333333,0.062034346411214955,6,2.801,0.27648181818181816,10.199,0.287368909661445,0.6532830541519528,0.7845384615384615,3.020100502512563,0.06720866435325201
graph_1_1_node_68,0.012860912248315802,0.31789137380191695,0.25,0.06666666666666667,0.005952380952380952,8,7.0,7.0,1.0,0.03125,0.06733377807427174,0.125,3.1457286432160805,0.25
graph_3_3_node_141,0.003607916133981116,0.31587301587301586,0.06666666666666667,0.5581241486068111,0.05946039588221796,8,3.973,0.3967779331779332,10.027,0.32276426783424245,0.5647465910334171,0.7162142857142857,3.1658291457286434,0.0
graph_3_5_node_139,0.01926478876652272,0.3948412698412698,0.09090909090909091,0.6465449275362318,0.08959848698403823,13,4.313,0.27780532212885156,15.687,0.6349295833296452,0.6568710638699271,0.78435,2.5326633165829144,0.01714968723896106
graph_4_4_node_133,0.0032826475276579174,0.3479020979020979,0.3333333333333333,0.6981333333333334,0.031644032140415376,6,1.322,0.25833333333333336,5.678,0.3040297682130742,0.7018802817254179,0.8111428571428572,2.8743718592964824,0.003267055117664166
graph_3_2_node_108,0.009455962163977412,0.37335834896810505,0.10714285714285714,0.9962857142857143,0.03493902423601034,8,0.013,0.0026000000000000003,5.987,0.20958930368876819,1.0002298043468942,0.9978333333333333,2.678391959798995,0.0
graph_1_5_node_13,0.009366050385411299,0.33111480865224624,0.2777777777777778,0.3333333333333333,0.023391812865497075,9,4.0,1.0,4.0,0.13793103448275862,0.3359858532272325,0.5,3.020100502512563,0.0
graph_4_5_node_51,0.004778447615987865,0.3605072463768116,0.10714285714285714,0.46415002154708035,0.03557375742448012,8,3.75,0.6549880952380952,6.25,0.2857673798391287,0.4682854488188004,0.625,2.7738693467336684,0.012790005666118367
graph_2_2_node_81,0.0019891217923022524,0.33558178752107926,0.3,0.7142857142857143,0.02959925612276697,5,1.0,0.2,5.0,0.160952204518199,0.7175860443187176,0.8333333333333334,2.979899497487437,0.0
graph_4_4_node_178,0.005683945599566808,0.3431034482758621,0.0,0.7129142857142857,0.02753691019418146,8,1.129,0.2842,4.871,0.27845736850859804,0.7161291351967566,0.8118333333333333,2.9145728643216082,0.0015336214982838014
graph_2_1_node_197,0.0021895303804516453,0.32730263157894735,0.5,0.75,0.03386598458758586,5,1.0,0.16666666666666666,6.0,0.2629095044086348,0.753957783641161,0.8571428571428571,3.0552763819095476,0.0
graph_2_3_node_111,0.022185269085196618,0.3940594059405941,0.14285714285714285,0.42857142857142855,0.017103534541440896,15,2.0,0.6666666666666666,3.0,0.12206795615013007,0.4305568686773187,0.6,2.5376884422110555,0.0
graph_3_3_node_79,0.011044288571389244,0.34973637961335674,0.08333333333333333,0.5996020202020202,0.029935829848496773,9,1.794,0.36410000000000003,5.206,0.20292867971369716,0.6030409849100182,0.7437142857142857,2.85929648241206,0.00872003445759074
graph_4_3_node_91,0.009170564992904473,0.36116152450090744,0.0,0.7652484848484848,0.03907481006020416,7,1.148,0.18804761904761905,6.852,0.346067372635635,0.7697656203967572,0.8565,2.7688442211055277,0.005688452688970253
graph_4_3_node_135,0.0029267061822420286,0.34851138353765326,0.0,0.8527565767565768,0.052410355514291046,7,0.854,0.103,9.146,0.4169984772604724,0.8587750482683352,0.9146,2.869346733668342,0.008161308605164641
graph_3_1_node_163,0.008782097123145488,0.3664825046040516,0.14285714285714285,0.7742222222222223,0.04052402839834964,7,1.02,0.14666666666666667,6.98,0.25252969508224954,0.7788235655186714,0.8725,2.728643216080402,0.0
graph_1_2_node_123,0.00784056793555381,0.31687898089171973,0.26666666666666666,0.6666666666666666,0.023668639053254437,8,1.0,0.25,4.0,0.12903225806451613,0.6693086745926904,0.8,3.1557788944723617,0.0
graph_2_5_node_65,0.008054011906912927,0.34133790737564323,0.13333333333333333,0.7494166666666666,0.03351006051049245,6,1.003,0.16736666666666666,5.997,0.2863923823326891,0.7533724910348949,0.8567142857142857,2.92964824120603,0.0
graph_1_5_node_133,0.020624604460850748,0.3407534246575342,0.16363636363636364,0.5555555555555556,0.02862988695577892,11,2.0,0.4,5.0,0.19726210826210827,0.5588602482191378,0.7142857142857143,2.9346733668341707,0.0
graph_4_2_node_1,0.0074729123293993055,0.40365111561866124,0.022222222222222223,0.8208095238095238,0.03125777080769358,10,0.684,0.1618,5.316,0.19968502081091785,0.824315358085002,0.886,2.477386934673367,0.0
